type,dataset,algorithm,stable,n,seed,ok,error,compares,cmp_flips,key_reads,aux_peak_bytes,order_hash
int64,organ_pipe,slice::sort_by_cached_key,1,10,20260912,1,,25,8,10,160,901f5df8c0caea74
int64,organ_pipe,glidesort,1,10,20260912,1,,27,6,,0,901f5df8c0caea74
int64,small_range,brainsort,1,10,20260912,1,,28,7,,0,fece0b07ed04e90e
int64,small_range,slice::sort,1,10,20260912,1,,28,7,,0,fece0b07ed04e90e
int64,small_range,slice::sort_by_cached_key,1,10,20260912,1,,28,7,10,160,fece0b07ed04e90e
int64,small_range,glidesort,1,10,20260912,1,,24,9,,0,fece0b07ed04e90e
int64,sawtooth,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int64,sawtooth,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int64,sawtooth,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,160,c0b09ddf1ee80aa8
int64,sawtooth,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
int64,prefixed,brainsort,1,10,20260912,1,,29,12,,0,793ba3bc964687c0
int64,prefixed,slice::sort,1,10,20260912,1,,29,12,,0,793ba3bc964687c0
int64,prefixed,slice::sort_by_cached_key,1,10,20260912,1,,29,12,10,160,793ba3bc964687c0
int64,prefixed,glidesort,1,10,20260912,1,,26,12,,0,793ba3bc964687c0
string,random,brainsort,1,10,20260912,1,,19,9,,0,5504c7f667961b4c
string,random,slice::sort,1,10,20260912,1,,19,9,,0,5504c7f667961b4c
string,random,glidesort,1,10,20260912,1,,22,9,,0,5504c7f667961b4c
string,sorted,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
string,sorted,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
string,sorted,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
string,reverse,brainsort,1,10,20260912,1,,45,0,,0,784ead557b67f22a
string,reverse,slice::sort,1,10,20260912,1,,45,0,,0,784ead557b67f22a
string,reverse,glidesort,1,10,20260912,1,,27,2,,0,784ead557b67f22a
string,nearly_sorted,brainsort,1,10,20260912,1,,20,12,,0,01a13a37ff9988b0
string,nearly_sorted,slice::sort,1,10,20260912,1,,20,12,,0,01a13a37ff9988b0
string,nearly_sorted,glidesort,1,10,20260912,1,,21,6,,0,01a13a37ff9988b0
string,few_unique,brainsort,1,10,20260912,1,,19,8,,0,79a5b877979764ce
string,few_unique,slice::sort,1,10,20260912,1,,19,8,,0,79a5b877979764ce
string,few_unique,glidesort,1,10,20260912,1,,24,10,,0,79a5b877979764ce
string,all_equal,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
string,all_equal,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
string,all_equal,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
string,runs,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
string,runs,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
string,runs,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
string,organ_pipe,brainsort,1,10,20260912,1,,25,8,,0,901f5df8c0caea74
string,organ_pipe,slice::sort,1,10,20260912,1,,25,8,,0,901f5df8c0caea74
string,organ_pipe,glidesort,1,10,20260912,1,,27,6,,0,901f5df8c0caea74
string,small_range,brainsort,1,10,20260912,1,,28,7,,0,fece0b07ed04e90e
string,small_range,slice::sort,1,10,20260912,1,,28,7,,0,fece0b07ed04e90e
string,small_range,glidesort,1,10,20260912,1,,24,9,,0,fece0b07ed04e90e
string,sawtooth,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
string,sawtooth,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
string,sawtooth,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
string,prefixed,brainsort,1,10,20260912,1,,31,11,,0,84b8cf6b01596dd2
string,prefixed,slice::sort,1,10,20260912,1,,31,11,,0,84b8cf6b01596dd2
string,prefixed,glidesort,1,10,20260912,1,,28,12,,0,84b8cf6b01596dd2
int32,random,brainsort,1,100,20260912,1,,99,64,,2880,ddad5fc0a50f475f
int32,random,slice::sort,1,100,20260912,1,,679,272,,0,ddad5fc0a50f475f
int32,random,slice::sort_by_cached_key,1,100,20260912,1,,671,279,100,800,ddad5fc0a50f475f
int32,random,glidesort,1,100,20260912,1,,682,284,,0,ddad5fc0a50f475f
int32,sorted,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,sorted,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,sorted,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,800,5ca7581a242be567
int32,sorted,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,reverse,brainsort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
int32,reverse,slice::sort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
int32,reverse,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,800,d9f7fc0466dafddf
int32,reverse,glidesort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
int32,nearly_sorted,brainsort,1,100,20260912,1,,258,8,,424,ff7266dbd54f61bf
int32,nearly_sorted,slice::sort,1,100,20260912,1,,621,20,,0,ff7266dbd54f61bf
int32,nearly_sorted,slice::sort_by_cached_key,1,100,20260912,1,,655,66,100,800,ff7266dbd54f61bf
int32,nearly_sorted,glidesort,1,100,20260912,1,,684,140,,0,ff7266dbd54f61bf
int32,few_unique,brainsort,1,100,20260912,1,,99,62,,2880,692731315dd027f3
int32,few_unique,slice::sort,1,100,20260912,1,,695,282,,0,692731315dd027f3
int32,few_unique,slice::sort_by_cached_key,1,100,20260912,1,,699,313,100,800,692731315dd027f3
int32,few_unique,glidesort,1,100,20260912,1,,671,274,,0,692731315dd027f3
int32,all_equal,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,all_equal,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,all_equal,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,800,5ca7581a242be567
int32,all_equal,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,runs,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,runs,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,runs,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,800,5ca7581a242be567
int32,runs,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,organ_pipe,brainsort,1,100,20260912,1,,197,98,,424,0f8bf22b09ab4179
int32,organ_pipe,slice::sort,1,100,20260912,1,,484,100,,0,0f8bf22b09ab4179
int32,organ_pipe,slice::sort_by_cached_key,1,100,20260912,1,,752,120,100,800,0f8bf22b09ab4179
int32,organ_pipe,glidesort,1,100,20260912,1,,205,99,,0,0f8bf22b09ab4179
int32,small_range,brainsort,1,100,20260912,1,,99,63,,848,5aceeede6db274fb
int32,small_range,slice::sort,1,100,20260912,1,,532,109,,0,5aceeede6db274fb
int32,small_range,slice::sort_by_cached_key,1,100,20260912,1,,643,105,100,800,5aceeede6db274fb
int32,small_range,glidesort,1,100,20260912,1,,672,129,,0,5aceeede6db274fb
int32,sawtooth,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,sawtooth,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,sawtooth,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,800,5ca7581a242be567
int32,sawtooth,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int32,prefixed,brainsort,1,100,20260912,1,,99,64,,1856,a86dc7024ff26051
int32,prefixed,slice::sort,1,100,20260912,1,,660,293,,0,a86dc7024ff26051
int32,prefixed,slice::sort_by_cached_key,1,100,20260912,1,,644,282,100,800,a86dc7024ff26051
int32,prefixed,glidesort,1,100,20260912,1,,740,260,,0,a86dc7024ff26051
int32,sparse_bits,brainsort,1,100,20260912,1,,99,64,,1856,721d357667af97b9
int32,sparse_bits,slice::sort,1,100,20260912,1,,711,276,,0,721d357667af97b9
int32,sparse_bits,slice::sort_by_cached_key,1,100,20260912,1,,716,298,100,800,721d357667af97b9
int32,sparse_bits,glidesort,1,100,20260912,1,,710,270,,0,721d357667af97b9
double,random,brainsort,1,100,20260912,1,,99,67,,3680,9c2d195df67b9b09
double,random,slice::sort,1,100,20260912,1,,677,267,,0,9c2d195df67b9b09
double,random,slice::sort_by_cached_key,1,100,20260912,1,,667,257,100,1600,9c2d195df67b9b09
double,random,glidesort,1,100,20260912,1,,647,279,,0,9c2d195df67b9b09
double,sorted,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,sorted,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,sorted,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,1600,5ca7581a242be567
double,sorted,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,reverse,brainsort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
double,reverse,slice::sort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
double,reverse,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,1600,d9f7fc0466dafddf
double,reverse,glidesort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
double,nearly_sorted,brainsort,1,100,20260912,1,,258,8,,832,ff7266dbd54f61bf
double,nearly_sorted,slice::sort,1,100,20260912,1,,621,20,,0,ff7266dbd54f61bf
double,nearly_sorted,slice::sort_by_cached_key,1,100,20260912,1,,569,34,100,1600,ff7266dbd54f61bf
double,nearly_sorted,glidesort,1,100,20260912,1,,684,140,,0,ff7266dbd54f61bf
double,few_unique,brainsort,1,100,20260912,1,,99,65,,3680,055a6df00055b73d
double,few_unique,slice::sort,1,100,20260912,1,,714,290,,0,055a6df00055b73d
double,few_unique,slice::sort_by_cached_key,1,100,20260912,1,,637,274,100,1600,055a6df00055b73d
double,few_unique,glidesort,1,100,20260912,1,,706,302,,0,055a6df00055b73d
double,all_equal,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,all_equal,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,all_equal,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,1600,5ca7581a242be567
double,all_equal,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,runs,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,runs,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,runs,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,1600,5ca7581a242be567
double,runs,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,organ_pipe,brainsort,1,100,20260912,1,,197,98,,832,0f8bf22b09ab4179
double,organ_pipe,slice::sort,1,100,20260912,1,,484,100,,0,0f8bf22b09ab4179
double,organ_pipe,slice::sort_by_cached_key,1,100,20260912,1,,727,73,100,1600,0f8bf22b09ab4179
double,organ_pipe,glidesort,1,100,20260912,1,,205,99,,0,0f8bf22b09ab4179
double,small_range,brainsort,1,100,20260912,1,,99,63,,2144,5aceeede6db274fb
double,small_range,slice::sort,1,100,20260912,1,,532,109,,0,5aceeede6db274fb
double,small_range,slice::sort_by_cached_key,1,100,20260912,1,,659,119,100,1600,5aceeede6db274fb
double,small_range,glidesort,1,100,20260912,1,,672,129,,0,5aceeede6db274fb
double,sawtooth,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,sawtooth,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,sawtooth,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,1600,5ca7581a242be567
double,sawtooth,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
double,prefixed,brainsort,1,100,20260912,1,,99,67,,3680,9c2d195df67b9b09
double,prefixed,slice::sort,1,100,20260912,1,,677,267,,0,9c2d195df67b9b09
double,prefixed,slice::sort_by_cached_key,1,100,20260912,1,,667,257,100,1600,9c2d195df67b9b09
double,prefixed,glidesort,1,100,20260912,1,,647,279,,0,9c2d195df67b9b09
int64,random,brainsort,1,100,20260912,1,,99,64,,3680,1afafd3ac1450ef9
int64,random,slice::sort,1,100,20260912,1,,754,285,,0,1afafd3ac1450ef9
int64,random,slice::sort_by_cached_key,1,100,20260912,1,,727,283,100,1600,1afafd3ac1450ef9
int64,random,glidesort,1,100,20260912,1,,630,280,,0,1afafd3ac1450ef9
int64,sorted,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,sorted,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
int64,sorted,slice::sort_by_cached_key,1,100,20260912,1,,99,0,100,1600,5ca7581a242be567
